kic,lum_K,e_lum_K
4937576,71.8528820730499,5.1739087059834
5023732,89.218890962792,6.02477647090836
5023845,25.5906703166469,1.97831491013515
5023931,69.8276084527632,7.94914417193422
5024143,23.3662820705745,1.97182410738284
5024240,18.3332529562901,1.75467890059166
5024297,56.7202258152618,5.60968197238145
5024312,26.9761476113373,2.08865006262944
5024404,59.9366716766027,5.2762235918335
5024405,25.5106379247544,1.99767611230253
5024512,34.1809291649888,2.52944420470507
5024583,66.8656811107442,4.75367938048769
5111718,21.4814011291471,1.96930293469895
5111940,48.2062195251338,4.54478145868703
5112072,21.773490174787,1.86013498905244
5112734,67.8562572593468,6.00960971092231
5112744,52.2721337074364,4.34572162657318
5112880,120.18882630006,8.80702067585841
5112948,67.8140903157962,5.7266419741389
5113041,72.1908901530362,5.88064973479103
5113441,17.1941467132711,1.44649252862031
