kic,lum_K,e_lum_K
2435987,38.4045406781947,6.98652676033186
2436097,32.7401365573186,5.89812963775093
2436209,31.8271380879652,7.09731373552137
2436332,35.684205517919,8.10672431525473
2436458,43.1129006891175,8.19102225464511
2436540,34.0009353887478,7.41444047557609
2436688,18.8843829718641,4.21184834082401
2436814,47.2381275535189,7.30459377877152
2436818,14.2088854599867,3.47061008232008
2436824,32.6177189952062,5.17298211142969
2436900,36.9426900868585,6.13995113505234
2437240,31.2972460308205,6.16093043471813
2437270,19.5924753436158,3.67571734328096
2437325,22.3053414030081,6.41284134185589
2437340,106.235334054313,13.5866737280216
2437402,26.5460270241079,4.95799147230172
2437444,70.1836727827927,11.278015851272
2437488,26.362778014849,5.88223084622549
2437507,53.8072818809855,7.6034246459143
2437653,22.6728721458927,5.68799957075694
2437781,17.6104034431546,4.23158348583624
2437816,347.754902509335,145.777587985013
2437933,15.9467040277454,4.20635220285102
2437957,18.1516768202731,4.5963107987603
2437972,14.2033893871112,2.87694173506467
2437976,15.9021167796516,3.93717938893935
2438038,27.1804049178471,6.12121110620196
2438140,21.218104025599,4.42807708141421
2438333,20.2443320850445,3.6781473030152
2569360,52.2586706321135,7.53950886676807
2569618,41.2769163077097,10.5483125110881
2570094,21.911794597059,4.58155238698276
2570172,23.3164339467284,5.51143193909165
2570244,17.8045807000077,4.89012893256861
