teff,rad,mass
4462.009071159765,0.6370402933328858,0.7
4455.689490372733,0.6372219815251704,0.7
4452.388833592609,0.6376927342404152,0.7
4450.761796926445,0.6382841857237368,0.7
4450.544610868086,0.6389273664796211,0.7
4450.754730697965,0.639497026954049,0.7
4451.150237874863,0.6400349959024424,0.7
4451.170208162626,0.6404411870051648,0.7
4451.128294138998,0.6408258356171025,0.7
4450.89192285921,0.6411217407700162,0.7
4450.605313253097,0.6413947797088418,0.7
4450.241237468583,0.6416398519813683,0.7
4449.798519698319,0.641856492220311,0.7
4449.355845970379,0.6420732056046373,0.7
4448.848261307004,0.6422718186305089,0.7
4448.337823837763,0.6424696783765627,0.7
4447.817689065784,0.6426670490129173,0.7
4447.2517295327325,0.6428618920194263,0.7
4446.685842014816,0.6430567940981987,0.7
4446.1308383616515,0.6432520724797034,0.7
4445.635889103253,0.6434491708273978,0.7
4445.140994943281,0.6436463295678375,0.7
4444.646155875591,0.6438435487195276,0.7
4444.179642738401,0.6440425338781814,0.7
4443.71649322462,0.6442417805902028,0.7
4443.253391977892,0.6444410889429547,0.7
4442.776005694509,0.6446397211025772,0.7
4442.278185529606,0.6448373595038059,0.7
4441.780421146249,0.6450350584984738,0.7
4441.282712538178,0.6452328181051576,0.7
4440.831993495718,0.6454329537918646,0.7
4440.400056757389,0.6456340762884921,0.7
4439.968162031339,0.6458352614566311,0.7
4439.536309313434,0.6460365093158101,0.7
4439.185184725567,0.6462321724718989,0.7
4438.851960262447,0.6464266435021049,0.7
4438.518760812604,0.646621173054593,0.7
4438.185586374149,0.6468157611469746,0.7
4437.893600485047,0.6470042607847301,0.7
4437.616126747754,0.6471906503582664,0.7
4437.338670359154,0.6473770936270802,0.7
4437.061231318176,0.6475635906066396,0.7
4436.813266901616,0.6477462787843863,0.7
4436.595453446138,0.6479250655472226,0.7
4436.377650683613,0.6481039016576317,0.7
4436.1598586135315,0.648282787129234,0.7
4435.952914150454,0.6484611590298315,0.7
4435.843825401961,0.6486344956426334,0.7
4435.734739336184,0.6488078785890992,0.7
4435.625655953055,0.648981307881614,0.7
4435.51657525249,0.6491547835325664,0.7
4435.454319062069,0.6493258772976769,0.7
4435.427033514549,0.649495202086617,0.7
4435.399748134905,0.6496645710304032,0.7
4435.372462923095,0.6498339841405497,0.7
4435.345177879138,0.6500034414285737,0.7
4435.399021396102,0.6501733608993983,0.7
4435.459128788056,0.6503433570668042,0.7
4435.519236994561,0.6505133976818894,0.7
4435.579346015649,0.6506834827562751,0.7
4435.6554727825815,0.6508543297533737,0.7
4435.803545400338,0.6510284450137757,0.7
4435.951622961112,0.651202606853147,0.7
4436.099705465053,0.6513768152839485,0.7
4436.2477929123515,0.6515510703186441,0.7
4436.42164808418,0.6517270150871397,0.7
4436.643943178359,0.6519060970683411,0.7
4436.8662494110495,0.6520852282578081,0.7
4437.08856678279,0.652264408669062,0.7
4437.310895294176,0.6524436383156281,0.7
4437.573206467079,0.652627797382162,0.7
4437.887252996912,0.652818324366179,0.7
4438.2013217517715,0.6530089069723009,0.7
4438.515412733258,0.6531995452167655,0.7
4438.829525942903,0.653390239115816,0.7
4439.20029511912,0.6535885415578873,0.7
4439.637834172707,0.6537958066632414,0.7
4440.0754163512875,0.6540031374962227,0.7
4440.513041659085,0.6542105340776745,0.7
4440.950710100373,0.6544179964284468,0.7
4441.436027300037,0.6546338455882188,0.7
4441.985525000032,0.654860977323437,0.7
4442.535090684273,0.6550881878642738,0.7
4443.084724361192,0.6553154772380716,0.7
4443.634426039205,0.6555428454721822,0.7
4444.234141869558,0.6557791811127508,0.7
4444.928620521051,0.6560324555969494,0.7
4445.623207695306,0.6562858279006065,0.7
4446.3179034093055,0.6565392980615017,0.7
4447.012707679976,0.6567928661174294,0.7
4447.744198391836,0.6570539578154926,0.7
4448.602503543959,0.6573408797723129,0.7
4449.460974327841,0.6576279270220537,0.7
4450.319610775462,0.657915099619428,0.7
4451.178412918783,0.6582023976191722,0.7
4452.051026336531,0.6584926954045768,0.7
4453.109979284461,0.658822346145859,0.7
4454.169184112109,0.659152161914957,0.7
4455.228640879385,0.659482142794486,0.7
4456.288349646214,0.6598122888671027,0.7
4457.348310472544,0.6601426002155051,0.7
4458.619724606499,0.6605197551867134,0.7
4459.919420637054,0.6609032980036589,0.7
4461.219495531472,0.6612870635317213,0.7
4462.519949400143,0.6616710519002219,0.7
4463.820782353579,0.662055263238557,0.7
4465.317014785916,0.6624843760069973,0.7
4466.908405186857,0.6629354594686205,0.7
4468.500362742008,0.663386850071509,0.7
4470.092887653525,0.6638385480247939,0.7
4471.685980123585,0.6642905535377495,0.7
4473.43206485325,0.6647810257080489,0.7
4475.371374242818,0.6653200804125161,0.7
4477.311524356204,0.6658595722232833,0.7
4479.252515557887,0.6663995014947891,0.7
4481.1943482124825,0.66693986858176,0.7
4483.219760411487,0.6675005933993945,0.7
4485.594507043052,0.6681457085036251,0.7
4487.970511570032,0.6687914470881969,0.7
4490.347774658726,0.669437809755681,0.7
4492.726296975782,0.670084797109231,0.7
4495.1685612719075,0.6707478782739446,0.7
4498.04393528872,0.6715185622380808,0.7
4500.921148563736,0.6722901317119471,0.7
4503.800202273491,0.673062587712987,0.7
4506.681097595216,0.673835931259813,0.7
4509.835314977903,0.6746812963942455,0.7
4513.238411152609,0.6755923935008115,0.7
4516.6440752844,0.6765047209630167,0.7
4520.052309311039,0.6774182804423469,0.7
4523.789185611712,0.678409408759759,0.7
4527.780743552127,0.6794609260933275,0.7
4531.775823437107,0.6805140732520262,0.7
